きつい	きつい きつい intense; severe; hard; determined; forceful; formidable; strong; tight; close
しゃべる	しゃべる しゃべる to talk; to chat; to chatter
対	対 つい pair; couple; set; antithesis; counter for items that come in pairs; counter for sets (of clothes, small furniture, utensils, etc.)
先ず	先ず まず first (of all); to start with; about; almost; anyway; well; now; hardly (with neg. verb)
ハンサム	ハンサム ハンサム handsome
抜く	抜く ぬく to extract; to omit; to draw out; to unplug; to do something to the end; to surpass; to overtake; to masturbate (of a male); to ejaculate (while masturbating); to take (a photo); to record (video)
塵	塵 ごみ rubbish; trash; garbage; refuse
平ら	平ら たいら flatness; level; smooth; calm; plain; sitting tailor fashion
濡れる	濡れる ぬれる to get wet
解く	解く とく to untie; to unfasten; to unwrap; to undo; to unbind; to unpack; to unsew; to unstitch; to solve; to work out; to answer; to dispel (misunderstanding, etc.); to clear up; to remove (suspicion); to appease; to dissolve (a contract); to cancel; to remove (a prohibition); to lift (a ban); to raise (a siege); to release (from duty); to relieve; to dismiss; to comb (out); to card; to untangle (hair)
向く	向く むく to face; to turn toward; to be suited to; to be fit for
綿	綿 めん cotton
触れる	触れる ふれる to touch; to feel; to experience; to come in contact with; to be emotionally moved (by); to perceive; to touch on a subject; to allude to; to be in conflict (with); to violate (law, copyright, etc.); to proclaim
灰	灰 はい ash; ashes
タイプライター	タイプライター タイプライター typewriter
向ける	向ける むける to turn towards; to point
ぼんやり	ぼんやり ぼんやり dimly; faintly; indistinctly; vaguely; absentmindedly; vacantly; carelessly; idly; aimlessly; absence of mind; fool; blockhead; dunce
あいにく	あいにく あいにく unfortunately; Sorry, but ...
優れる	優れる すぐれる to surpass; to outstrip; to excel
真っ直ぐ	真っ直ぐ まっすぐ straight (ahead); direct; upright; erect; straightforward; honest; frank
怪我	怪我 けが injury (to animate object); hurt
直に	直に じかに directly; in person; firsthand
止す	止す よす to cease; to desist; to cut it out; to lay off (an activity); to drop (a subject) to abolish; to resign; to give up
下す	下す おろす to take down (e.g. flag); to launch (e.g. boat); to drop; to lower (e.g. ladder); to let (a person) off; to unload; to discharge; to drop off (a passenger from a vehicle); to let (a person) off; to withdraw money from an account; to wear (clothing) for the first time; to fillet (e.g. a fish)
ざっと	ざっと ざっと roughly; in round numbers; cursorily; briefly
伸びる	伸びる のびる to stretch; to extend; to lengthen; to spread; to make progress; to grow (beard, body height); to grow stale (soba); to be straightened; to be flattened; to be smoothed; to be exhausted
被る	被る かぶる to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself); to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water; to bear (e.g. someone's debts, faults, etc.); to take (blame); to assume (responsibility); to shoulder (burden); to overlap (e.g. sound or color); to be similar; to be redundant; to be fogged (due to overexposure, etc.); to close; to come to an end; to get a full house; to sell out; to blunder; to bungle; to fail; to be deceived
にっこり	にっこり にっこり smile sweetly; smile; grin
捕まる	捕まる つかまる to be caught; to be arrested; to hold on to; to grasp; to find (e.g. proof); to get (e.g. a taxi); to be detained by
いらいら	いらいら いらいら getting nervous; irritation
避ける	避ける さける to avoid (physical contact with); to avoid (situation); to ward off; to avert
従う	従う したがう to abide (by the rules); to obey; to follow; to accompany
述べる	述べる のべる to state; to express; to mention
責める	責める せめる to condemn; to blame; to criticize; to criticise; to reproach; to accuse; to urge; to press; to pester; to torture; to torment; to persecute; to break in (a horse)
今にも	今にも いまにも at any time; soon
ばったり	ばったり ばったり with a clash; with a thud; with a bang; with a flop; plump; unexpectedly (meeting someone); suddenly (ending); abruptly (coming to a halt)
抱く	抱く いだく to embrace; to hold in the arms (e.g. a baby); to hug; to harbour (e.g. grudge); to harbor; to bear; to have (e.g. ambition); to entertain (e.g. hope, suspicion); to have sex with; to make love to; to sleep with; to sit on eggs
少しも	少しも すこしも anything of; not one bit (with negative sentence)
放す	放す はなす to release; to let go; to free; to set free; to let loose; to turn loose; to add (pieces of eggplant, potato, etc.) to water, broth, etc.
明ける	明ける あける to dawn; to grow light; to end (of a period, season); to begin (of the New Year)
人込み	人込み ひとごみ crowd of people
計る	計る はかる to measure; to weigh; to survey; to time (sound, gauge, estimate); to conjecture; to infer; to surmise
解ける	解ける とける to be solved; to loosen; to come untied; to be removed (e.g. restrictions); to be cleared (e.g. misunderstandings); to be broken (e.g. spells, curses); to melt
説	説 せつ theory; doctrine; opinion; view; rumour; rumor; gossip; hearsay
注ぐ	注ぐ つぐ (usu. written as kana when referring to a solid) to pour (into a vessel); to fill; to dish out food or drink
任せる	任せる まかせる to entrust (e.g. a task) to another; to leave to; to passively leave to someone else's facilities; to leave to take its natural course; to continue (something) in a natural fashion (without particular aim); to rely fully on one's (full strength, great ability, long time taken) to get something done
しきりに	しきりに しきりに frequently; repeatedly; often; incessantly; constantly; strongly; eagerly
遂に	遂に ついに finally; at last; in the end
よると	よると よると according to
済ませる	済ませる すませる to finish; to make an end of; to get through with; to let end
粗い	粗い あらい coarse; rough
占める	占める しめる to occupy; to hold; to account for; to make up; to take up
空く	空く すく to become less crowded; to thin out; to get empty; to be hungry
近頃	近頃 ちかごろ lately; recently; nowadays
隠れる	隠れる かくれる to hide; to be hidden; to conceal oneself; to disappear
履く	履く はく to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.); to put on (or wear) footwear; to affix a sword to one's hip; to affix a bowstring to a bow
留める	留める とめる to stop; to turn off; to park; to prevent; to suppress (a cough); to hold back (tears); to hold (one's breath); to relieve (pain); to stop (someone from doing something); to dissuade; to forbid; to prohibit; to notice; to be aware of; to concentrate on; to pay attention to; to remember; to bear in mind; to fix (in place); to fasten; to tack; to pin; to nail; to button; to staple; to detain; to keep in custody
省く	省く はぶく to omit; to leave out; to exclude; to eliminate; to elide; to curtail; to save; to cut down; to economize; to economise
けち	けち けち stinginess; miser; miserliness; selfishness
招く	招く まねく to invite; to ask; to beckon; to wave someone in; to gesture to; to call in; to send for; to summon; to bring on oneself; to cause; to incur; to lead to; to result in
